,SabioReactionID,Name,Role,Smiles
83,24,"D-Fructose 1,6-bisphosphate",Product,OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O)
84,25,D-Erythrose 4-phosphate,Product,[H]C(=O)C(O)C(O)COP(O)(O)=O
85,25,D-Glyceraldehyde 3-phosphate,Substrate,[H]C(O)(C=O)COP(O)(O)=O
86,25,beta-D-Fructose 6-phosphate,Substrate,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O
87,25,D-Xylulose 5-phosphate,Product,OCC(=O)C(O)C(O)COP(O)(O)=O
88,26,D-Mannose 6-phosphate,Substrate,OC1OC(COP(O)(O)=O)C(O)C(O)C1(O)
89,26,beta-D-Fructose 6-phosphate,Product,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O
90,27,Phosphate,Product,OP(O)(O)=O
91,27,H2O,Substrate,[H]O[H]
92,27,beta-D-Fructose 6-phosphate,Product,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O
93,27,"D-Fructose 2,6-bisphosphate",Substrate,OCC1(OC(COP(O)(O)=O)C(O)C1(O))(OP(O)(O)=O)
94,28,ADP,Product,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
95,28,ATP,Substrate,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
96,28,beta-D-Fructose 6-phosphate,Substrate,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O
97,28,"D-Fructose 2,6-bisphosphate",Product,OCC1(OC(COP(O)(O)=O)C(O)C1(O))(OP(O)(O)=O)
98,29,beta-D-Fructose 6-phosphate,Product,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O
99,29,NADH,Product,NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
100,29,D-Mannitol 1-phosphate,Substrate,OCC(O)C(O)C(O)C(O)COP(O)(O)=O
101,29,NAD+,Substrate,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N
102,29,H+,Product,[H]
103,31,NADH,Product,NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
104,31,H+,Product,[H]
105,31,NAD+,Substrate,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N
106,31,beta-D-Fructose 6-phosphate,Product,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O
107,31,D-Glucitol 6-phosphate,Substrate,OCC(O)C(O)C(O)C(O)COP(O)(O)=O
108,32,Diphosphate,Substrate,OP(O)(=O)OP(O)(O)=O
109,32,"beta-D-Fructose 1,6-bisphosphate",Product,OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O)
110,32,Phosphate,Product,OP(O)(O)=O
111,32,beta-D-Fructose 6-phosphate,Substrate,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O
112,33,D-Glucosamine 6-phosphate,Product,NC1C(O)OC(COP(O)(O)=O)C(O)C1(O)
113,33,D-Fructose 6-phosphate,Substrate,OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))
114,33,L-Glutamate,Product,NC(CCC(O)=O)C(O)=O
115,33,L-Glutamine,Substrate,NC(=O)CCC(N)C(O)=O
116,34,NH3,Product,[H]N([H])[H]
117,34,H2O,Substrate,[H]O[H]
118,34,D-Glucosamine 6-phosphate,Substrate,NC1C(O)OC(COP(O)(O)=O)C(O)C1(O)
119,34,D-Fructose 6-phosphate,Product,OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))
120,35,UDP,Product,O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)
121,35,Sucrose 6-phosphate,Product,OCC2OC(OC1(CO)(OC(COP(O)(O)=O)C(O)C1(O)))C(O)C(O)C2(O)
122,35,D-Fructose 6-phosphate,Substrate,OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))
123,35,UDPglucose,Substrate,OCC3OC(OP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(O))N2C=CC(=O)NC2(=O))C(O)C(O)C3(O)
124,36,Phosphate,Substrate,OP(O)(O)=O
125,36,H2O,Product,[H]O[H]
126,36,D-Fructose 6-phosphate,Substrate,OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))
127,36,D-Erythrose 4-phosphate,Product,[H]C(=O)C(O)C(O)COP(O)(O)=O
128,36,Acetyl phosphate,Product,CC(=O)OP(O)(O)=O
129,37,ADP,Product,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
130,37,ATP,Substrate,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
131,37,beta-D-Fructose 6-phosphate,Product,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O
132,37,D-Fructose,Substrate,OCC1OC(O)(CO)C(O)C1(O)
133,38,ITP,Substrate,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
134,38,IDP,Product,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
135,38,D-Fructose 6-phosphate,Product,OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))
136,38,D-Fructose,Substrate,OCC1OC(O)(CO)C(O)C1(O)
137,39,dATP,Substrate,Nc3ncnc2c3(ncn2(C1CC(O)C(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1))
138,39,D-Fructose 6-phosphate,Product,OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))
139,39,D-Fructose,Substrate,OCC1OC(O)(CO)C(O)C1(O)
140,39,dADP,Product,Nc3ncnc2c3(ncn2(C1CC(O)C(COP(O)(=O)OP(O)(O)=O)O1))
141,40,D-Glyceraldehyde 3-phosphate,Substrate,[H]C(O)(C=O)COP(O)(O)=O
142,40,D-Fructose 6-phosphate,Product,OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))
143,40,D-Erythrose 4-phosphate,Product,[H]C(=O)C(O)C(O)COP(O)(O)=O
144,40,D-Sedoheptulose 7-phosphate,Substrate,OCC(=O)C(O)C(O)C(O)C(O)COP(O)(O)=O
145,41,"Sedoheptulose 1,7-bisphosphate",Product,OC(COP(O)(O)=O)C(O)C(O)C(O)C(=O)COP(O)(O)=O
146,41,ADP,Product,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
147,41,ATP,Substrate,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
148,41,Sedoheptulose 7-phosphate,Substrate,OCC(=O)C(O)C(O)C(O)C(O)COP(O)(O)=O
149,42,"Sedoheptulose 1,7-bisphosphate",Product,OC(COP(O)(O)=O)C(O)C(O)C(O)C(=O)COP(O)(O)=O
150,42,UTP,Substrate,O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)
151,42,UDP,Product,O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)
152,42,Sedoheptulose 7-phosphate,Substrate,OCC(=O)C(O)C(O)C(O)C(O)COP(O)(O)=O
153,43,"Sedoheptulose 1,7-bisphosphate",Product,OC(COP(O)(O)=O)C(O)C(O)C(O)C(=O)COP(O)(O)=O
154,43,CTP,Substrate,NC=1C=CN(C(=O)N=1)C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)
155,43,CDP,Product,NC=1C=CN(C(=O)N=1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)
156,43,Sedoheptulose 7-phosphate,Substrate,OCC(=O)C(O)C(O)C(O)C(O)COP(O)(O)=O
157,44,ITP,Substrate,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
158,44,"Sedoheptulose 1,7-bisphosphate",Product,OC(COP(O)(O)=O)C(O)C(O)C(O)C(=O)COP(O)(O)=O
159,44,IDP,Product,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
160,44,Sedoheptulose 7-phosphate,Substrate,OCC(=O)C(O)C(O)C(O)C(O)COP(O)(O)=O
161,45,"Sedoheptulose 1,7-bisphosphate",Substrate,OC(COP(O)(O)=O)C(O)C(O)C(O)C(=O)COP(O)(O)=O
162,45,Dihydroxyacetone phosphate,Product,OCC(=O)COP(O)(O)=O
163,45,D-Erythrose 4-phosphate,Product,[H]C(=O)C(O)C(O)COP(O)(O)=O
164,46,alpha-Lactose,Substrate,OCC2OC(OC1C(O)C(O)C(O)OC1(CO))C(O)C(O)C2(O)
165,46,D-Glucose,Product,OCC1OC(O)C(O)C(O)C1(O)
166,46,D-Galactose,Product,OCC1OC(O)C(O)C(O)C1(O)
167,46,H2O,Substrate,[H]O[H]
168,47,ATP,Substrate,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
169,47,NAD+,Substrate,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N
170,47,ADP,Product,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
171,47,NADP+,Product,NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
172,48,ATP,Substrate,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
173,48,Dephospho-CoA,Substrate,CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS
174,48,Coenzyme A,Product,CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS
175,48,ADP,Product,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
176,49,Ethanol,Substrate,CCO
177,49,NADP+,Substrate,NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
178,49,NADPH,Product,NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
179,49,H+,Product,[H]
180,49,Acetaldehyde,Product,CC=O
183,51,Formate,Substrate,OC=O
184,51,"5,6,7,8-Tetrahydrofolate",Substrate,[H]C2(CNc1ccc(cc1)C(=O)NC(CCC(O)=O)C(O)=O)(CNC=3N=C(N)NC(=O)C=3(N2))
185,51,ADP,Product,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
186,51,Phosphate,Product,OP(O)(O)=O
187,51,ATP,Substrate,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
188,51,10-Formyltetrahydrofolate,Product,NC=1NC(=O)C=2NC(CNC=2(N=1))CN(C=O)c3ccc(cc3)C(=O)NC(CCC(O)=O)C(O)=O
189,53,UTP,Substrate,O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)
190,53,Phosphoenolpyruvate,Product,C=C(OP(O)(O)=O)C(O)=O
191,53,UDP,Product,O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)
192,53,Pyruvate,Substrate,CC(=O)C(O)=O
193,54,GDP,Product,NC=1NC(=O)c2ncn(c2(N=1))C3OC(COP(O)(=O)OP(O)(O)=O)C(O)C3(O)
194,54,Phosphoenolpyruvate,Product,C=C(OP(O)(O)=O)C(O)=O
195,54,Pyruvate,Substrate,CC(=O)C(O)=O
196,54,GTP,Substrate,NC=1NC(=O)c2ncn(c2(N=1))C3OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C3(O)
197,55,CDP,Product,NC=1C=CN(C(=O)N=1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)
198,55,Phosphoenolpyruvate,Product,C=C(OP(O)(O)=O)C(O)=O
199,55,CTP,Substrate,NC=1C=CN(C(=O)N=1)C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)
200,55,Pyruvate,Substrate,CC(=O)C(O)=O
201,56,ITP,Substrate,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
202,56,IDP,Product,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
203,56,Phosphoenolpyruvate,Product,C=C(OP(O)(O)=O)C(O)=O
204,56,Pyruvate,Substrate,CC(=O)C(O)=O
205,57,Pyruvate,Substrate,CC(=O)C(O)=O
206,57,Phosphoenolpyruvate,Product,C=C(OP(O)(O)=O)C(O)=O
207,57,dATP,Substrate,Nc3ncnc2c3(ncn2(C1CC(O)C(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1))
208,57,dADP,Product,Nc3ncnc2c3(ncn2(C1CC(O)C(COP(O)(=O)OP(O)(O)=O)O1))
209,58,Pyruvate,Substrate,CC(=O)C(O)=O
210,58,CO2,Product,O=C=O
211,58,Lipoamide,Substrate,NC(=O)CCCCC1CCSS1
212,58,S-Acetyldihydrolipoamide,Product,CC(=O)SC(CCCCC(N)=O)CCS
213,59,Dihydrolipoamide,Substrate,NC(=O)CCCCC(CCS)S
214,59,Coenzyme A,Product,CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS
215,59,Acetyl-CoA,Substrate,CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23
216,59,S-Acetyldihydrolipoamide,Product,CC(=O)SC(CCCCC(N)=O)CCS
217,60,Dihydrolipoamide,Substrate,NC(=O)CCCCC(CCS)S
218,60,NAD+,Substrate,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N
219,60,NADH,Product,NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
220,60,Lipoamide,Product,NC(=O)CCCCC1CCSS1
221,60,H+,Product,[H]
222,61,NADH,Product,NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
223,61,L-Lactate,Substrate,CC(O)C(O)=O
224,61,H+,Product,[H]
225,61,Pyruvate,Product,CC(=O)C(O)=O
226,61,NAD+,Substrate,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N
227,62,D-Ribulose 5-phosphate,Substrate,OCC(=O)C(O)C(O)COP(O)(O)=O
228,62,D-Xylulose 5-phosphate,Product,OCC(=O)C(O)C(O)COP(O)(O)=O
229,63,D-Glyceraldehyde 3-phosphate,Substrate,[H]C(O)(C=O)COP(O)(O)=O
230,63,D-Sedoheptulose 7-phosphate,Substrate,OCC(=O)C(O)C(O)C(O)C(O)COP(O)(O)=O
231,63,D-Ribose 5-phosphate,Product,OC1OC(COP(O)(O)=O)C(O)C1(O)
232,63,D-Xylulose 5-phosphate,Product,OCC(=O)C(O)C(O)COP(O)(O)=O
233,64,Acetaldehyde,Product,CC=O
234,64,2-Deoxy-D-ribose 5-phosphate,Substrate,OC1CC(O)C(COP(O)(O)=O)O1
235,64,D-Glyceraldehyde 3-phosphate,Product,[H]C(O)(C=O)COP(O)(O)=O
236,65,D-Ribose 5-phosphate,Substrate,OC1OC(COP(O)(O)=O)C(O)C1(O)
237,65,D-Ribulose 5-phosphate,Product,OCC(=O)C(O)C(O)COP(O)(O)=O
238,66,Adenosine 5'-phosphate,Product,Nc3ncnc1c3(ncn1C2OC(COP(O)(O)=O)C(O)C2(O))
239,66,ATP,Substrate,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
240,66,5-Phospho-alpha-D-ribose 1-diphosphate,Product,OC1C(O)C(OC1(COP(O)(O)=O))OP(O)(=O)OP(O)(O)=O
241,66,D-Ribose 5-phosphate,Substrate,OC1OC(COP(O)(O)=O)C(O)C1(O)
